img,res,prediction_value
4723,arctic_fox,1
3260,arctic_fox,1
4058,arctic_fox,1
4608,arctic_fox,1
810,arctic_fox,1
4529,arctic_fox,1
3147,arctic_fox,1
3701,arctic_fox,1
968,arctic_fox,1
815,arctic_fox,1
1213,arctic_fox,1
2615,arctic_fox,1
1113,arctic_fox,1
666,arctic_fox,1
257,arctic_fox,1
4061,arctic_fox,1
4631,arctic_fox,1
4537,arctic_fox,1
3171,arctic_fox,1
3947,arctic_fox,1
237,arctic_fox,1
41,arctic_fox,1
973,arctic_fox,1
2382,arctic_fox,1
3024,arctic_fox,1
3766,arctic_fox,1
1173,arctic_fox,1
4706,arctic_fox,1
881,arctic_fox,1
2930,arctic_fox,1
2567,arctic_fox,1
2464,arctic_fox,1
4543,arctic_fox,1
2308,arctic_fox,1
3000,arctic_fox,1
1374,arctic_fox,1
2564,arctic_fox,1
1157,arctic_fox,1
2422,arctic_fox,1
1363,arctic_fox,1
3434,arctic_fox,1
470,arctic_fox,1
1955,arctic_fox,1
3021,arctic_fox,1
2198,arctic_fox,1
1948,arctic_fox,1
3898,arctic_fox,1
1059,arctic_fox,1
578,arctic_fox,1
3359,arctic_fox,1
1451,arctic_fox,1
1583,arctic_fox,1
1542,arctic_fox,1
4606,arctic_fox,1
2046,arctic_fox,1
2410,arctic_fox,1
109,arctic_fox,1
4554,arctic_fox,1
2654,arctic_fox,1
1742,arctic_fox,1
4149,arctic_fox,1
4184,arctic_fox,1
3577,arctic_fox,1
4452,arctic_fox,1
217,arctic_fox,1
2473,arctic_fox,1
1520,arctic_fox,1
2470,arctic_fox,1
135,arctic_fox,1
4528,arctic_fox,1
2087,arctic_fox,1
4414,arctic_fox,1
3921,arctic_fox,1
550,arctic_fox,1
4649,arctic_fox,1
2928,arctic_fox,1
1314,arctic_fox,1
4057,arctic_fox,1
3824,arctic_fox,1
210,arctic_fox,1
3174,arctic_fox,1
3123,arctic_fox,1
2502,arctic_fox,1
2580,arctic_fox,1
1596,arctic_fox,1
1462,arctic_fox,1
4128,arctic_fox,1
2403,arctic_fox,1
3663,arctic_fox,1
244,arctic_fox,1
4035,arctic_fox,1
762,arctic_fox,1
2951,arctic_fox,1
236,arctic_fox,1
3188,arctic_fox,1
4375,arctic_fox,1
3193,arctic_fox,1
1068,arctic_fox,1
2520,arctic_fox,1
1336,arctic_fox,1
3016,arctic_fox,1
2619,arctic_fox,1
4313,arctic_fox,1
1906,arctic_fox,1
4328,arctic_fox,1
2236,arctic_fox,1
747,arctic_fox,1
1279,arctic_fox,1
1696,arctic_fox,1
3681,arctic_fox,1
3865,arctic_fox,1
3083,arctic_fox,1
675,arctic_fox,1
1094,arctic_fox,1
3985,arctic_fox,1
26,arctic_fox,1
1501,arctic_fox,1
3505,arctic_fox,1
988,arctic_fox,1
1638,arctic_fox,1
2250,arctic_fox,1
3414,arctic_fox,1
3388,arctic_fox,1
979,arctic_fox,1
1482,arctic_fox,1
725,arctic_fox,1
2796,arctic_fox,1
2059,arctic_fox,1
1734,arctic_fox,1
1185,arctic_fox,1
2398,arctic_fox,1
388,arctic_fox,1
40,arctic_fox,1
4180,arctic_fox,1
2644,arctic_fox,1
618,arctic_fox,1
2291,arctic_fox,1
3519,arctic_fox,1
3292,arctic_fox,1
308,arctic_fox,1
4150,arctic_fox,1
1818,arctic_fox,1
1158,arctic_fox,1
930,arctic_fox,1
1767,arctic_fox,1
2134,arctic_fox,1
4338,arctic_fox,1
4463,arctic_fox,1
1379,arctic_fox,1
25,arctic_fox,1
4589,arctic_fox,1
1659,arctic_fox,1
2106,arctic_fox,1
2242,arctic_fox,1
3682,arctic_fox,1
1556,arctic_fox,1
4311,arctic_fox,1
4724,arctic_fox,1
3183,arctic_fox,1
2456,arctic_fox,1
2957,arctic_fox,1
3552,arctic_fox,1
3023,arctic_fox,1
2897,arctic_fox,1
1984,arctic_fox,1
1576,arctic_fox,1
2270,arctic_fox,1
1152,arctic_fox,1
3707,arctic_fox,1
3288,arctic_fox,1
3884,arctic_fox,1
3755,arctic_fox,1
1587,arctic_fox,1
2852,arctic_fox,1
3572,arctic_fox,1
2581,arctic_fox,1
1669,arctic_fox,1
3873,arctic_fox,1
3688,arctic_fox,1
1997,arctic_fox,1
4222,arctic_fox,1
3479,arctic_fox,1
3103,arctic_fox,1
4279,arctic_fox,1
3804,arctic_fox,1
2341,arctic_fox,1
2994,arctic_fox,1
289,arctic_fox,1
778,arctic_fox,1
1959,arctic_fox,1
2054,arctic_fox,1
1297,arctic_fox,1
262,arctic_fox,1
2876,arctic_fox,1
185,arctic_fox,1
3027,arctic_fox,1
91,arctic_fox,1
2276,arctic_fox,1
656,arctic_fox,1
2754,arctic_fox,1
3546,arctic_fox,1
3962,arctic_fox,1
2447,arctic_fox,1
3494,arctic_fox,1
1471,arctic_fox,1
2848,arctic_fox,1
1299,arctic_fox,1
2226,arctic_fox,1
2774,arctic_fox,1
3838,arctic_fox,1
4456,arctic_fox,1
2559,arctic_fox,1
4223,arctic_fox,1
96,arctic_fox,1
2171,arctic_fox,1
1463,arctic_fox,1
1105,arctic_fox,1
855,arctic_fox,1
2946,arctic_fox,1
4592,arctic_fox,1
2631,arctic_fox,1
2923,arctic_fox,1
758,arctic_fox,1
3065,arctic_fox,1
2392,arctic_fox,1
3299,arctic_fox,1
2858,arctic_fox,1
1210,arctic_fox,1
1864,arctic_fox,1
3866,arctic_fox,1
4297,arctic_fox,1
2512,arctic_fox,1
1978,arctic_fox,1
1803,arctic_fox,1
4171,arctic_fox,1
79,arctic_fox,1
1877,arctic_fox,1
2511,arctic_fox,1
2123,arctic_fox,1
883,arctic_fox,1
4113,arctic_fox,1
4557,arctic_fox,1
1620,arctic_fox,1
4466,arctic_fox,1
198,arctic_fox,1
1925,arctic_fox,1
2528,arctic_fox,1
3687,arctic_fox,1
1448,arctic_fox,1
2126,arctic_fox,1
1704,arctic_fox,1
2235,arctic_fox,1
4535,arctic_fox,1
3619,arctic_fox,1
3090,arctic_fox,1
1337,arctic_fox,1
2164,arctic_fox,1
4406,arctic_fox,1
2826,arctic_fox,1
3370,arctic_fox,1
1009,arctic_fox,1
2144,arctic_fox,1
187,arctic_fox,1
1628,arctic_fox,1
986,arctic_fox,1
4439,arctic_fox,1
1132,arctic_fox,1
4639,arctic_fox,1
4623,arctic_fox,1
1966,arctic_fox,1
522,arctic_fox,1
4220,arctic_fox,1
3826,arctic_fox,1
2830,arctic_fox,1
4651,arctic_fox,1
1807,arctic_fox,1
4650,arctic_fox,1
3469,arctic_fox,1
2157,arctic_fox,1
1237,arctic_fox,1
4000,arctic_fox,1
967,arctic_fox,1
2851,arctic_fox,1
3191,arctic_fox,1
2148,arctic_fox,1
29,arctic_fox,1
2194,arctic_fox,1
3020,arctic_fox,1
1515,arctic_fox,1
3808,arctic_fox,1
2550,arctic_fox,1
4506,arctic_fox,1
4285,arctic_fox,1
931,arctic_fox,1
4268,arctic_fox,1
1017,arctic_fox,1
2762,arctic_fox,1
3305,arctic_fox,1
3224,arctic_fox,1
1034,arctic_fox,1
2683,arctic_fox,1
1360,arctic_fox,1
4087,arctic_fox,1
3626,arctic_fox,1
3149,arctic_fox,1
1943,arctic_fox,1
885,arctic_fox,1
3536,arctic_fox,1
841,arctic_fox,1
1107,arctic_fox,1
2,arctic_fox,1
1490,arctic_fox,1
2017,arctic_fox,1
2569,arctic_fox,1
379,arctic_fox,0.9999999
4618,arctic_fox,0.9999999
2474,arctic_fox,0.9999999
1837,arctic_fox,0.9999999
3899,arctic_fox,0.9999999
2911,arctic_fox,0.9999999
3622,arctic_fox,0.9999999
1190,arctic_fox,0.9999999
3478,arctic_fox,0.9999999
2663,arctic_fox,0.9999999
2417,arctic_fox,0.9999999
2480,arctic_fox,0.9999999
1413,arctic_fox,0.9999999
4527,arctic_fox,0.9999999
2565,arctic_fox,0.99999976
992,arctic_fox,0.99999976
1886,arctic_fox,0.99999976
314,arctic_fox,0.99999964
1766,arctic_fox,0.99999964
2763,arctic_fox,0.99999964
320,arctic_fox,0.99999964
206,arctic_fox,0.99999964
3228,arctic_fox,0.99999964
690,arctic_fox,0.99999964
1801,arctic_fox,0.99999964
2941,arctic_fox,0.9999995
4103,arctic_fox,0.9999995
850,arctic_fox,0.9999994
66,arctic_fox,0.9999994
4368,arctic_fox,0.99999905
3049,arctic_fox,0.99999905
4449,arctic_fox,0.9999989
2771,arctic_fox,0.9999989
333,arctic_fox,0.9999988
3904,arctic_fox,0.99999857
878,arctic_fox,0.99999833
4584,arctic_fox,0.99999785
4579,arctic_fox,0.9999976
2162,arctic_fox,0.9999975
3143,arctic_fox,0.9999974
1912,arctic_fox,0.99999726
1115,arctic_fox,0.9999964
4498,arctic_fox,0.99999547
2717,arctic_fox,0.9999939
1252,arctic_fox,0.9999937
950,arctic_fox,0.99999285
196,arctic_fox,0.99999166
4398,arctic_fox,0.99998975
1040,arctic_fox,0.9999845
3846,arctic_fox,0.99997294
2120,arctic_fox,0.9999708
2532,arctic_fox,0.99996674
2757,arctic_fox,0.9999604
1598,arctic_fox,0.99995816
1428,arctic_fox,0.9999542
4688,arctic_fox,0.9999398
3144,arctic_fox,0.9999379
1846,arctic_fox,0.9999355
4197,arctic_fox,0.9999149
3131,arctic_fox,0.9998956
3971,arctic_fox,0.9998771
4662,arctic_fox,0.9998511
3445,arctic_fox,0.9998332
944,arctic_fox,0.9997904
3508,arctic_fox,0.9995203
1686,arctic_fox,0.99942577
3521,arctic_fox,0.99908423
3446,arctic_fox,0.99886644
2648,arctic_fox,0.9976421
412,arctic_fox,0.99544984
3423,arctic_fox,0.99239093
781,arctic_fox,0.9901682
3009,arctic_fox,0.9786568
2933,arctic_fox,0.9773924
2211,arctic_fox,0.9687599
2141,arctic_fox,0.9686158
579,arctic_fox,0.96438086
876,arctic_fox,0.95302683
1868,arctic_fox,0.95070475
2327,arctic_fox,0.9061136
4471,arctic_fox,0.8571259
2179,arctic_fox,0.855274
1900,arctic_fox,0.64044
3564,arctic_fox,0.61597574
4567,arctic_fox,0.5908637
3763,arctic_fox,0.47634473
3025,baby_leopard,1
564,baby_leopard,1
2776,baby_leopard,1
1730,baby_leopard,1
1060,baby_leopard,1
3545,baby_leopard,1
686,baby_leopard,1
1302,baby_leopard,1
4455,baby_leopard,1
2129,baby_leopard,0.9999846
160,baby_leopard,0.99996674
1759,baby_leopard,0.9996327
791,baby_leopard,0.9574215
989,baby_leopard,0.65986323
4051,baby_cheetah,1
1423,baby_cheetah,1
4508,baby_cheetah,1
2825,baby_cheetah,1
3012,baby_cheetah,1
1029,baby_cheetah,1
399,baby_cheetah,1
1919,baby_cheetah,1
2635,baby_cheetah,1
3513,baby_cheetah,1
200,baby_cheetah,1
127,baby_cheetah,1
4102,baby_cheetah,1
894,baby_cheetah,1
3968,baby_cheetah,1
3166,baby_cheetah,1
1729,baby_cheetah,1
1181,baby_cheetah,1
3194,baby_cheetah,1
1243,baby_cheetah,1
2268,baby_cheetah,1
582,baby_cheetah,1
1014,baby_cheetah,1
1822,baby_cheetah,1
660,baby_cheetah,1
2036,baby_cheetah,1
505,baby_cheetah,1
4355,baby_cheetah,1
2181,baby_cheetah,1
1865,baby_cheetah,1
282,baby_cheetah,1
924,baby_cheetah,1
2747,baby_cheetah,1
4727,baby_cheetah,1
2388,baby_cheetah,1
3372,baby_cheetah,1
162,baby_cheetah,1
2185,baby_cheetah,1
3568,baby_cheetah,1
795,baby_cheetah,1
2074,baby_cheetah,1
1593,baby_cheetah,1
597,baby_cheetah,1
3351,baby_cheetah,1
3934,baby_cheetah,1
1457,baby_cheetah,1
1376,baby_cheetah,1
4718,baby_cheetah,1
1338,baby_cheetah,1
1406,baby_cheetah,1
3876,baby_cheetah,1
2816,baby_cheetah,1
3221,baby_cheetah,1
2317,baby_cheetah,1
4329,baby_cheetah,1
326,baby_cheetah,1
3524,baby_cheetah,1
722,baby_cheetah,1
3632,baby_cheetah,1
2357,baby_cheetah,1
4427,baby_cheetah,1
906,baby_cheetah,1
1361,baby_cheetah,1
23,baby_cheetah,1
1435,baby_cheetah,1
4581,baby_cheetah,1
4022,baby_cheetah,1
4047,baby_cheetah,1
1575,baby_cheetah,1
1944,baby_cheetah,1
3435,baby_cheetah,1
3293,baby_cheetah,1
2469,baby_cheetah,1
4053,baby_cheetah,1
3331,baby_cheetah,1
